Variation,Embedding,Classifier,Accuracy,Precision,Recall,F1_Score
var_4_all_no_hash_no_elong,BERT,XGBoost,61.51,62.55,61.51,61.6
var_4_all_no_hash_no_elong,ROBERTA,Naive_Bayes,36.11,42.37,36.11,35.91
var_4_all_no_hash_no_elong,ROBERTA,LinearSVC,80.16,80.56,80.16,80.01
var_4_all_no_hash_no_elong,ROBERTA,MLP_NeuralNet,70.24,70.77,70.24,69.91
var_4_all_no_hash_no_elong,ROBERTA,XGBoost,73.81,74.16,73.81,73.76
var_4_all_no_hash_no_elong,SBERT,Naive_Bayes,77.78,78.55,77.78,77.83
var_4_all_no_hash_no_elong,SBERT,LinearSVC,77.78,79.75,77.78,77.63
var_4_all_no_hash_no_elong,SBERT,MLP_NeuralNet,71.43,71.37,71.43,71.11
var_4_all_no_hash_no_elong,SBERT,XGBoost,74.6,75.43,74.6,74.47
,,,,,,
var_5_all_lowercased,TFIDF,Naive_Bayes,54.76,56.73,54.76,53.69
var_5_all_lowercased,TFIDF,LinearSVC,68.65,69.76,68.65,68.5
var_5_all_lowercased,TFIDF,MLP_NeuralNet,68.65,69.07,68.65,68.58
var_5_all_lowercased,TFIDF,XGBoost,63.49,66.62,63.49,63.51
var_5_all_lowercased,W2V,Naive_Bayes,43.25,52.92,43.25,35.37
var_5_all_lowercased,W2V,LinearSVC,66.27,68.12,66.27,66.56
var_5_all_lowercased,W2V,MLP_NeuralNet,58.73,59.85,58.73,59.01
var_5_all_lowercased,W2V,XGBoost,60.32,61.12,60.32,60.31
var_5_all_lowercased,GLOVE,Naive_Bayes,50.79,58.58,50.79,47.4
var_5_all_lowercased,GLOVE,LinearSVC,69.44,69.92,69.44,69.39
var_5_all_lowercased,GLOVE,MLP_NeuralNet,58.33,59.4,58.33,57.98
var_5_all_lowercased,GLOVE,XGBoost,65.87,67.3,65.87,65.88
var_5_all_lowercased,FASTTEXT,Naive_Bayes,42.86,50.71,42.86,35.99
var_5_all_lowercased,FASTTEXT,LinearSVC,64.29,64.34,64.29,64.28
var_5_all_lowercased,FASTTEXT,MLP_NeuralNet,60.32,60.31,60.32,60.26
var_5_all_lowercased,FASTTEXT,XGBoost,61.9,61.79,61.9,61.49
var_5_all_lowercased,BERT,Naive_Bayes,57.54,58.96,57.54,57.22
var_5_all_lowercased,BERT,LinearSVC,69.44,69.72,69.44,69.52
var_5_all_lowercased,BERT,MLP_NeuralNet,56.75,57.1,56.75,56.46
var_5_all_lowercased,BERT,XGBoost,65.48,65.91,65.48,65.62
var_5_all_lowercased,ROBERTA,Naive_Bayes,41.27,46.78,41.27,40.85
var_5_all_lowercased,ROBERTA,LinearSVC,82.54,83.46,82.54,82.47
var_5_all_lowercased,ROBERTA,MLP_NeuralNet,77.38,77.22,77.38,77.13
var_5_all_lowercased,ROBERTA,XGBoost,73.81,73.95,73.81,73.77
var_5_all_lowercased,SBERT,Naive_Bayes,77.38,78.29,77.38,77.43
var_5_all_lowercased,SBERT,LinearSVC,78.17,79.93,78.17,78.03
var_5_all_lowercased,SBERT,MLP_NeuralNet,69.44,70.22,69.44,68.9
var_5_all_lowercased,SBERT,XGBoost,73.41,73.89,73.41,73.38
